## 20162706
## Database of cancer genes. Composed by:
## 1. Cancer driver genes from cosmic cancer gene census database (27/06/2016, COSMIC v77)
## access_info: http://cancer.sanger.ac.uk/census/
## 2. Cancer predisposition genes (CPG) from Rahman N. (doi:10.1038/nature12981)
## access_info: Supplementary table 1
## <GENE_SYMBOL>	<ROLE>	<COSMIC>	<CPG>	
MAML2	unkn	1	0
SRSF3	unkn	1	0
PDE4DIP	unkn	1	0
NONO	unkn	1	0
AFF4	oncogene	1	0
AFF3	oncogene	1	0
AFF1	oncogene	1	0
ROS1	oncogene	1	0
TFRC	unkn	1	0
PPP6C	unkn	1	0
CHEK2	TSG	1	1
TRRAP	oncogene	1	0
PAX5	unkn	1	0
PAX7	unkn	1	0
PAX3	unkn	1	0
PAX8	unkn	1	0
GPHN	unkn	1	0
HOXC11	oncogene	1	0
ASPSCR1	oncogene	1	0
TP53	TSG	1	1
GNAQ	unkn	1	0
ESR1	unkn	1	0
CD274	unkn	1	0
PALB2	TSG	1	1
SFPQ	unkn	1	0
HMGN2P46	unkn	1	0
STRN	unkn	1	0
NFE2L2	unkn	1	0
PHF6	unkn	1	0
MYCN	oncogene	1	0
LCK	unkn	1	0
SH2D1A	TSG	0	1
NTRK1	unkn	1	0
TBX3	oncogene/TSG	1	0
LHFP	unkn	1	0
CD79B	unkn	1	0
BCR	oncogene	1	0
CD79A	unkn	1	0
STAT6	unkn	1	0
STAT3	oncogene	1	1
HOXA13	oncogene	1	0
HOXA11	oncogene	1	0
ECT2L	unkn	1	0
CBFB	unkn	1	0
RABEP1	unkn	1	0
ERCC2	TSG	1	1
BCL7A	oncogene	1	0
GOLGA5	unkn	1	0
TAL1	unkn	1	0
THRAP3	unkn	1	0
TAL2	unkn	1	0
SF3B1	unkn	1	0
USP6	unkn	1	0
ATRX	unkn	1	0
RAD51D	TSG	0	1
WAS	TSG	1	1
RAD51B	unkn	1	0
TBL1XR1	unkn	1	0
KCNJ5	unkn	1	0
MSN	unkn	1	0
GNAS	unkn	1	0
IL2	unkn	1	0
COL1A1	unkn	1	0
CDH11	unkn	1	0
PPP2R1A	unkn	1	0
CDKN2C	TSG	1	0
BIRC3	unkn	1	0
FOXO3	oncogene/TSG	1	0
BMPR1A	TSG	1	1
FOXO1	oncogene/TSG	1	0
RUNX1T1	oncogene	1	0
TOP1	unkn	1	0
FOXO4	oncogene/TSG	1	0
NCKIPSD	unkn	1	0
MLLT4	unkn	1	0
FAS	TSG	1	1
MLLT6	unkn	1	0
MLLT1	oncogene	1	0
MLLT3	oncogene	1	0
FAH	TSG	0	1
ZCCHC8	unkn	1	0
NUTM2B	unkn	1	0
HNRNPA2B1	unkn	1	0
NUTM2A	unkn	1	0
NRG1	unkn	1	0
TERT	TSG	1	1
PLAG1	unkn	1	0
NT5C2	unkn	1	0
MALT1	unkn	1	0
RUNDC2A	unkn	1	0
KMT2A	oncogene	1	0
SMARCB1	TSG	1	1
DUX4L1	unkn	1	0
KMT2D	unkn	1	0
SPOP	unkn	1	0
MSI2	unkn	1	0
POU5F1	unkn	1	0
DIS3L2	TSG	0	1
PIM1	unkn	1	0
CASP8	TSG	1	0
BCL9	oncogene	1	0
BCL5	oncogene	1	0
BCL6	oncogene	1	0
BCL3	oncogene	1	0
BCL2	oncogene	1	0
SSX4	unkn	1	0
SSX2	unkn	1	0
SSX1	unkn	1	0
CDX2	unkn	1	0
AKT1	oncogene	1	0
AKT2	oncogene	1	0
MDS2	unkn	1	0
MAFB	unkn	1	0
NKX2-1	unkn	1	0
PMS2	TSG	1	1
FSTL3	unkn	1	0
WHSC1L1	unkn	1	0
NTRK3	unkn	1	0
HSP90AB1	unkn	1	0
SLC34A2	unkn	1	0
ARHGAP26	TSG	1	0
MYC	oncogene	1	0
MYB	unkn	1	0
DDIT3	unkn	1	0
FLI1	unkn	1	0
PRF1	unkn	1	0
PMS1	unkn	1	0
ATP2B3	unkn	1	0
RHBDF2	oncogene	0	1
UBR5	unkn	1	0
KRAS	oncogene	1	0
SOCS1	TSG	1	0
ACSL3	unkn	1	0
ACSL6	unkn	1	0
DDX5	unkn	1	0
FAT1	TSG	1	0
KMT2C	unkn	1	0
FAT4	TSG	1	0
KDM5A	unkn	1	0
KDM5C	unkn	1	0
REL	oncogene	1	0
TRIM33	unkn	1	0
PCM1	unkn	1	0
HLA-A	unkn	1	0
RPL5	unkn	1	0
TRIM37	TSG	0	1
NFKBIE	unkn	1	0
DEK	unkn	1	0
CLTC	unkn	1	0
DNM2	unkn	1	0
RNF217-AS1	unkn	1	0
CHD4	oncogene	1	0
ASXL1	TSG	1	0
AMER1	TSG	1	0
NOTCH1	oncogene/TSG	1	0
DDX6	unkn	1	0
PIK3R1	unkn	1	0
MYD88	oncogene	1	0
HMBS	TSG	0	1
NACA	unkn	1	0
TFEB	unkn	1	0
TRA	unkn	1	0
MN1	unkn	1	0
TRB	unkn	1	0
RNF43	unkn	1	0
TRD	unkn	1	0
ABCB11	TSG	0	1
RHOH	unkn	1	0
RHOA	unkn	1	0
ETV1	unkn	1	0
KDSR	unkn	1	0
ETV5	unkn	1	0
ETV4	unkn	1	0
ETV6	unkn	1	0
MPL	oncogene	1	0
SDC4	unkn	1	0
HOXD13	oncogene	1	0
TNFAIP3	unkn	1	0
HOXD11	oncogene	1	0
AR	oncogene	1	0
FNBP1	unkn	1	0
CASC5	unkn	1	0
JAZF1	unkn	1	0
POT1	unkn	1	0
MUTYH	TSG	1	1
SS18L1	unkn	1	0
ABL1	oncogene	1	0
ABL2	oncogene	1	0
IKZF1	TSG	1	0
NCOR2	TSG	1	0
NCOR1	unkn	1	0
BTG1	unkn	1	0
MTAP	TSG	0	1
BCL10	unkn	1	0
POLD1	TSG	0	1
KDM6A	unkn	1	0
NBN	TSG	1	1
PML	oncogene	1	0
NFKB2	oncogene	1	0
ELN	unkn	1	0
ELL	unkn	1	0
HMGA2	oncogene	1	0
HMGA1	unkn	1	0
FEV	unkn	1	0
BCOR	TSG	1	0
CSF3R	unkn	1	0
GOPC	unkn	1	0
HEY1	unkn	1	0
ZNF521	unkn	1	0
DICER1	TSG	1	1
SOS1	oncogene	0	1
WWTR1	unkn	1	0
MET	oncogene	1	1
PRKACA	oncogene	1	0
KDR	unkn	1	0
HSP90AA1	unkn	1	0
CIC	unkn	1	0
ACVR1	oncogene	1	0
NUMA1	unkn	1	0
BCL11A	unkn	1	0
BCL11B	unkn	1	0
VHL	TSG	1	1
TLX3	unkn	1	0
ELF4	unkn	1	0
RMI2	unkn	1	0
SERPINA1	TSG	0	1
ZRSR2	unkn	1	0
NRAS	oncogene	1	0
MLH1	TSG	1	1
GRIN2A	unkn	1	0
SRSF2	unkn	1	0
BRAF	oncogene	1	0
PDGFB	oncogene	1	0
DNMT3A	TSG	1	0
RAD21	unkn	1	0
HOOK3	unkn	1	0
TMPRSS2	unkn	1	0
DKC1	TSG	0	1
GPC3	TSG	1	1
TSC2	TSG	1	1
CLTCL1	unkn	1	0
NPM1	unkn	1	0
CNTRL	unkn	1	0
NFIB	unkn	1	0
CLP1	unkn	1	0
PTPRK	unkn	1	0
EZR	oncogene	1	0
CREB3L2	unkn	1	0
CREB3L1	unkn	1	0
PTPRC	unkn	1	0
PTPRB	unkn	1	0
GNA11	unkn	1	0
SDHA	TSG	1	1
C2orf44	unkn	1	0
BAP1	TSG	1	1
SDHB	TSG	1	1
ATF1	unkn	1	0
SDHD	TSG	1	1
PRKAR1A	TSG	1	1
